Key,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Conference Name
2462,preprint,2025,"Soni, Sagar; Dudhane, Akshay; Debary, Hiyam; Fiaz, Mustansar; Munir, Muhammad Akhtar; Danish, Muhammad Sohail; Fraccaro, Paolo; Watson, Campbell D.; Klein, Levente J.; Khan, Fahad Shahbaz; Khan, Salman",EarthDial: Turning Multi-sensory Earth Observations to Interactive Dialogues,,10.48550/arXiv.2412.15190,http://arxiv.org/abs/2412.15190,
2466,preprint,2025,"Zhao, Ganlong; Li, Guanbin; Pan, Jia; Yu, Yizhou",Aerial Vision-and-Language Navigation with Grid-based View Selection and Map Construction,,10.48550/arXiv.2503.11091,http://arxiv.org/abs/2503.11091,
2495,preprint,2025,"Cai, Hengxing; Dong, Jinhan; Tan, Jingjun; Deng, Jingcheng; Li, Sihang; Gao, Zhifeng; Wang, Haidong; Su, Zicheng; Sumalee, Agachai; Zhong, Renxin",FlightGPT: Towards Generalizable and Interpretable UAV Vision-and-Language Navigation with Vision-Language Models,,10.48550/arXiv.2505.12835,http://arxiv.org/abs/2505.12835,
2528,preprint,2025,"Xu, Ningli; Qin, Rongjun",Satellite to GroundScape -- Large-scale Consistent Ground View Generation from Satellite Views,,10.48550/arXiv.2504.15786,http://arxiv.org/abs/2504.15786,
2534,preprint,2025,"Vuong, Khiem; Ghosh, Anurag; Ramanan, Deva; Narasimhan, Srinivasa; Tulsiani, Shubham",AerialMegaDepth: Learning Aerial-Ground Reconstruction and View Synthesis,,10.48550/arXiv.2504.13157,http://arxiv.org/abs/2504.13157,
2592,preprint,2025,"Wang, Di; Liu, Shunyu; Jiang, Wentao; Wang, Fengxiang; Liu, Yi; Qin, Xiaolei; Luo, Zhiming; Zhou, Chaoyang; Guo, Haonan; Zhang, Jing; Du, Bo; Tao, Dacheng; Zhang, Liangpei",GeoZero: Incentivizing Reasoning from Scratch on Geospatial Scenes,,10.48550/ARXIV.2511.22645,https://arxiv.org/abs/2511.22645,
2594,preprint,2025,"Perincherry, Akhil; Krantz, Jacob; Lee, Stefan",Do Visual Imaginations Improve Vision-and-Language Navigation Agents?,,10.48550/arXiv.2503.16394,http://arxiv.org/abs/2503.16394,
2600,webpage,2025,"Liu, Chenghao; Zhou, Zhimu; Zhang, Jiachen; Zhang, Minghao; Huang, Songfang; Duan, Huiling",MSNav: Zero-Shot Vision-and-Language Navigation with Dynamic Memory and LLM Spatial Reasoning,,,https://arxiv.org/abs/2508.16654v3,
2606,preprint,2025,"Hu, Yizhi; Tian, Zezhao; Qi, Xingqun; Su, Chen; Yang, Bingkun; Yin, Junhui; Sun, Muyi; Zhang, Man; Sun, Zhenan",ReMeREC: Relation-aware and Multi-entity Referring Expression Comprehension,,10.48550/arXiv.2507.16877,http://arxiv.org/abs/2507.16877,
2610,preprint,2025,"Wei, Meng; Wan, Chenyang; Yu, Xiqian; Wang, Tai; Yang, Yuqiang; Mao, Xiaohan; Zhu, Chenming; Cai, Wenzhe; Wang, Hanqing; Chen, Yilun; Liu, Xihui; Pang, Jiangmiao",StreamVLN: Streaming Vision-and-Language Navigation via SlowFast Context Modeling,,10.48550/arXiv.2507.05240,http://arxiv.org/abs/2507.05240,
